paket,dalamNegeri,jenisPengadaan,metode,lembaga,satker,lokasi,id,pagu,pemilihanDate,sumberDana,isUMKM,volumePekerjaan,uraianPekerjaan,spesifikasiPekerjaan,ownerType,potensiPemborosan,tags.isInappropriate,tags.inappropriateReason,jumlahTagAktif,_source_part
Helpdesk Aplikasi Manajemen Pemerintahan II,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KOMUNIKASI DAN INFORMATIKA,"Banten, Tangerang (Kota)",62568701,83649600.0,December 2025,APBD,True,12 OB,menjawab keluhan pegawai Pemerintah Kota Tangerang yang berhubungan dengan aplikasi Tangerang AYO - menjawab keluhan pegawai Pemerintah Kota Tangerang yang berhubungan dengan aplikasi e-Office - memverfikasi akun masyarakat yang melakukan registrasi aplikasi Tangerang LIVE,"IT Support / Helpdesk / Operator Komputer, Helpdesk, yaitu Minimal SMA atau sederajat dengan kualifikasi: - Pria/Wanita usia maksimal 30 tahun - Pendidikan minimal SMA atau sederajat - Menguasai aplikasi perkantoran - Inovatif, Kreatif, bersedia menerima tantangan baru - Memiliki keahlian desain terkini - Dapat mengoperasikan Komputer - Memiliki perangkat kerja untuk helpdesk aplikasi android; - Bersedia bekerja di lokasi Dinas Komunikasi dan Informatika selama kontrak.",kabkota,0.0,low,,0,1
IT Support Aplikasi Layanan Publik I,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KOMUNIKASI DAN INFORMATIKA,"Banten, Tangerang (Kota)",62569143,83649600.0,December 2025,APBD,True,12 OB,Melakukan pendampingan implementasi aplikasi eGovernment di SKPD sesuai dengan penugasan - Melakukan sosialiasasi aplikasi eGovernment di SKPD sesuai dengan penugasan - Melakukan monitoring dan pengecekan berkala aplikasi layanan publik,"IT Support / Helpdesk / Operator Komputer, IT Support, yaitu Minimal SMA atau sederajat dengan kualifikasi: - Memahami konsep pemrograman berbasiskan obyek (OOP); - Mengetahui konsep 3rd party libraries; atau - Mengetahui framework Code Igniter (CI); - Dapat mengoperasikan Komputer; - Menguasai aplikasi perkantoran (ms office atau sejenis); - Memiliki Perangkat Kerja dengan platform Android; - Bersedia bekerja di lokasi Dinas Komunikasi dan Informatika selama kontrak.",kabkota,0.0,low,,0,1
IT Support Aplikasi Manajemen Pemerintahan II,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KOMUNIKASI DAN INFORMATIKA,"Banten, Tangerang (Kota)",62569831,83649600.0,December 2025,APBD,True,12 OB,"Mendeteksi dan melacak bug (debugging) - Melakukan perbaikan bug untuk aplikasi yang dikembangkan - Melakukan perbaikan pada kode berdasarkan hasil pengujian - Membantu dalam pemeliharaan, pembaruan, peningkatan, dan pada aplikasi eksisting","IT Support / Helpdesk / Operator Komputer, IT Support, yaitu Minimal SMA atau sederajat dengan kualifikasi: - Memahami konsep pemrograman berbasiskan obyek (OOP); - Mengetahui konsep 3rd party libraries; atau - Mengetahui framework Code Igniter (CI); - Dapat mengoperasikan Komputer; - Menguasai aplikasi perkantoran (ms office atau sejenis); - Memiliki Perangkat Kerja dengan platform Android; - Bersedia bekerja di lokasi Dinas Komunikasi dan Informatika selama kontrak.",kabkota,0.0,low,,0,1
APLIKASI LISENSI PREMIUM KEG PENGELOLAAN LAYANAN INFORMASI DAN HUMAS,True,Barang,E-Purchasing,Kementerian Pendidikan Dasar dan Menengah,BALAI BAHASA SUMATERA UTARA,"Sumatera Utara, Medan (Kota)",62226256,2500000.0,February 2026,APBN,True,1 PAKET,APLIKASI LISENSI PREMIUM KEG PENGELOLAAN LAYANAN INFORMASI DAN HUMAS,-,central,0.0,low,,0,1
Desain Aplikasi Layanan Publik Tahap 1,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KOMUNIKASI DAN INFORMATIKA,"Banten, Tangerang (Kota)",62348030,74074500.0,December 2025,APBD,True,6 OB,"Pembuatan skenario video tutorial sesuai dengan buku manual ataupun alur bisnis proses yang dialami oleh pengguna aplikasi - pemilihan ilustrasi sebagai pendukung ditujukan untuk mempermudah pengguna dalam memahami video tutorial yang akan dibuat. Ilustrasi pendukung digunakan sebagai bahan uji terhadap draft skenario yang akan dibuat sebelum diproduksi - proses perekaman dengan menggunakan aplikasi yang tersedia guna menjelaskan proses yang terjadi diaplikasi yang dibuat video tutorialnya - melakukan proses editing atau penyuntingan Setelah perekaman audio/visual ke komputer, untuk memilah bagian-bagian yang dianggap tidak perlu dapat dibuang. Dan kemudian dilakukan penambahan animasi, efek suara,atau unsur lain - melakukan proses Rendering setelah proses edit, kemudian file ditransfer menjadi format tertentu sesuai kebutuhan - desain Infografis aplikasi – aplikasi yang dikembangkan, seperti aplikasi baru maupun penambahan modul di aplikasi eksisting.","DesainGrafis/Fotographer/Editor Video/Script Writer CAD/CAM Operator, yaitu S1Teknologi Informasi/Sistem Informasi/Informatika/Manajemen Informatika/Komunikasi Visual dengan kualifikasi: - Pria/Wanita usia maksimal 40 tahun - Pendidikan minimal S1 Teknologi Informasi/Sistem Informasi/Informatika/Manajemen Informatika/Komunikasi Visual atau sejenis - Menguasai Adobe Premier, Adobe Ilustratotr, Adobe Photoshop, Adobe After Effect - Inovatif, Kreatif, bersedia menerima tantangan baru - Menguasai desain grafis, video editing dan motion graphic - Memiliki keahlian desain terkini - Dapat mengoperasikan Komputer - Diutamakan memiliki Sertifikat Nasional (BNSP) bidang keahlian Desain Grafis - Memiliki perangkat kerja untuk pembuatan video tutorial - Bersedia bekerja di lokasi Dinas Komunikasi dan Informatika selama kontrak.",kabkota,0.0,low,,0,1
Pengadaan Jasa Tenaga Software Development Direktorat Jejaring Pendidikan Tahun 2026,True,Jasa Lainnya,Pengadaan Langsung,Komisi Pemberantasan Korupsi,KOMISI PEMBERANTASAN KORUPSI KPK,"DKI Jakarta, Jakarta Selatan (Kota)",61573201,154800000.0,November 2025,APBN - RUPIAH MURNI (A),True,1 Paket,Mengadakan Jasa Tenaga Software Development Direktorat Jejaring Pendidikan Tahun 2026 dengan spesifikasi teknis/KAK yang akan disampaikan pada proses pemilihan,Mengadakan Jasa Tenaga Software Development Direktorat Jejaring Pendidikan Tahun 2026 dengan spesifikasi teknis/KAK yang akan disampaikan pada proses pemilihan,central,0.0,low,,0,1
Pengadaaan Lisensi Aplikasi Video Tele Conference (Zoom Meeting) Kegiatan Pelaksanaan Diskusi Strategi Kebijakan pada Kantor Wilayah Kementerian Hukum Lampung Tahun Anggaran 2026,True,Barang,Pengadaan Langsung,Kementerian Hukum,12 KANWIL LAMPUNG BSK,"Lampung, Bandar Lampung (Kota)",63359094,1500000.0,January 2026,APBN - RUPIAH MURNI (A),True,1 Paket,"1. Biaya pembelian Lisensi aplikasi video teleconference (zoom meeting) ( 1, BLN, @ 1500000 );","1. Biaya pembelian Lisensi aplikasi video teleconference (zoom meeting) ( 1, BLN);",central,0.0,low,,0,1
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,Pengadaan Langsung,Kab. Kendal,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,"Jawa Tengah, Kendal (Kab.)",62236439,40000000.0,January 2026,APBD,True,1 Paket,Jasa Pemeliharaan server;,"Pemeliharaan web server, mail server, dan aplikasi server;",kabkota,0.0,low,,0,1
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,Pengadaan Langsung,Kab. Kendal,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,"Jawa Tengah, Kendal (Kab.)",62236438,25000000.0,January 2026,APBD,True,1 Paket,Jasa Konversi Aplikasi/Sistem Informasi;,-;,kabkota,0.0,low,,0,1
Belanja Sewa Aset Tidak Berwujud-Lisensi dan Franchise - Lisensi Aplikasi - Koordinasi dan Fasilitasi Promosi Literasi SPBE dan/atau kolaborasi penyelenggaraan SPBE,True,Jasa Lainnya,E-Purchasing,Kab. Sukabumi,"Dinas Komunikasi, Informatika dan Persandian","Jawa Barat, Sukabumi (Kab.)",63431207,26300000.0,January 2026,APBD,True,1 Paket,Beban Sewa Aset Tidak Berwujud-Lisensi dan Franchise; Beban Sewa Aset Tidak Berwujud-Lisensi dan Franchise; Beban Sewa Aset Tidak Berwujud-Lisensi dan Franchise;,Kredit Tiktok Ads Peningkatan Literasi Digital; Belanja Kredit Facebook Ads Peningkatan Literasi Digital; Lisensi Canva Team (6 user);,kabkota,0.0,med,,1,1
Belanja Sewa Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Kuantan Singingi,Badan Pendapatan Daerah,"Riau, Kuantan Singingi (Kab.)",62553613,350000000.0,December 2025,APBD,True,1 Paket,Sesuai KAK,Datacenter untuk 2 server durasi 12 Bulan,kabkota,0.0,low,,0,1
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Gowa,Badan Pendapatan Daerah,"Sulawesi Selatan, Gowa (Kab.)",62233526,50000000.0,January 2026,APBD,True,1 Paket,Pemeliharaan Aplikasi BPHTB; Pemeliharaan Aplikasi SIMPAD;,"Pemeliharaan Fitur Dashboard BPHTB, Fitur QRIS Dinamis, Fitur Host to Host BPHTB, Fitur Virtual Account (VA) BPHTB untuk Mengurangi/Memperkecil Kesalahan dalam Proses Pembayaran, Membuat Laporan Maintenance.; Pemeliharaan Fitur Dashboard SIMPAD, Fitur QRIS Dinamis, Fitur Host to Host SIMPAD, Fitur Virtual Account (VA) SIMPAD untuk Mengurangi/Memperkecil Kesalahan dalam Proses Pembayaran, Membuat Laporan Maintenance.;",kabkota,0.0,low,,0,1
Annual Technical Support (ATS) Software dan Appliance Check Point Tahun Anggaran 2026,False,Jasa Lainnya,Tender,Kementerian Keuangan,BADAN TEKNOLOGI INFORMASI DAN INTELIJEN KEUANGAN,"DKI Jakarta, Jakarta Pusat (Kota)",61630335,6740422153.0,November 2025,APBN,False,1 Paket,Sesuai KAK,Sesuai KAK,central,0.0,low,,0,1
Belanja Kawat/Faksimili/Internet/TV Berlangganan (Langganan Aplikasi Editing Video),True,Jasa Lainnya,E-Purchasing,Provinsi Jawa Timur,RUMAH SAKIT MATA MASYARAKAT JAWA TIMUR,"Jawa Timur, Surabaya (Kota)",62607784,15600000.0,December 2025,BLUD,True,12 Bulan,Langganan Aplikasi Editing Video 12 BULAN,Langganan Aplikasi Editing Video 12 BULAN,provinsi,0.0,med,,1,1
Langganan Jasa Aplikasi Dukungan Manajemen Direktorat PAUD,True,Jasa Lainnya,Pengadaan Langsung,Kementerian Pendidikan Dasar dan Menengah,DIREKTORAT PENDIDIKAN ANAK USIA DINI,"DKI Jakarta, Jakarta Pusat (Kota)",61616679,240000000.0,January 2026,APBN,True,1 Tahun,Langganan Jasa Aplikasi Dukungan Manajemen Direktorat PAUD,Langganan Jasa Aplikasi Dukungan Manajemen Direktorat PAUD,central,0.0,low,,0,1
Penyediaan Jasa Tenaga Ahli Pemeliharaan dan Operasional Sistem Aplikasi Pemungutan dan Penyuluhan Pajak Daerah,True,Jasa Konsultansi,Pengadaan Langsung,Provinsi DKI Jakarta,BADAN PENDAPATAN DAERAH,"DKI Jakarta, Jakarta Pusat (Kota)",62250131,1175460000.0,December 2025,APBD,True,2 Orang 4 Bulan;5 Orang 4 Bulan;3 Orang 4 Bulan;3 Orang 4 Bulan;2 Orang 4 Bulan;4 Orang 4 Bulan;1 Orang 4 Bulan,Uraian Pekerjaan Sesuai KAK,Spesifikasi Pekerjaan Sesuai KAK,provinsi,0.0,low,,0,1
Tenaga Ahli Penetration Test Aplikasi Domain bandungkab.go.id,True,Jasa Lainnya,Pengadaan Langsung,Kab. Bandung,"DINAS KOMUNIKASI DAN INFORMATIKA, STATISTIK DAN PERSANDIAN","Jawa Barat, Bandung (Kab.)",62244277,64640000.0,January 2026,APBD,True,8 Bulan,Adapun tujuan dari Kegiatan ini adalah untuk membantu dalam upaya meminimalisir ancaman keamanan informasi di Pemerintah Kabupaten Bandung.,"Jasa Tenaga Ahli S1, Pengalaman 4 Tahun;",kabkota,0.0,low,,0,1
Belanja Jasa Tenaga Ahli (Programmer Aplikasi Mobile dan frontend),True,Jasa Konsultansi,Pengadaan Langsung,Kota Cimahi,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,"Jawa Barat, Cimahi (Kota)",63122065,90442000.0,December 2025,APBD,True,11 OB,Tenaga Ahli Sub Profesional - Pemelihara Sistem; Pengalaman <3 Tahun,Programmer aplikasi Mobile dan frontend,kabkota,0.0,low,,0,1
Pengadaan Jasa Penambahan Fitur Aplikasi Penyetaraan Ijazah Pendukung Kegiatan Sub Komponen Manajemen Operasional Penunjang Tusi dan Output Publikasi dan Layanan Publik,True,Jasa Lainnya,Pengadaan Langsung,Kementerian Pendidikan Dasar dan Menengah,SEKRETARIAT DITJEN PENDIDIKAN ANAK USIA DINI PENDIDIKAN DASAR DAN PENDIDIKAN MENENGAH,"DKI Jakarta, Jakarta Pusat (Kota)",61614150,75000000.0,January 2026,APBN,True,1 Paket,Penambahan Fitur Aplikasi Penyetaraan Ijazah,Penambahan Fitur Aplikasi Penyetaraan Ijazah,central,0.0,low,,0,1
Belanja Sewa Aset Tidak Berwujud-Software Sub Kegiatan Pengelolaan Media Komunikasi Publik,True,Jasa Lainnya,Pengadaan Langsung,Kab. Pamekasan,Dinas Komunikasi dan Informatika,"Jawa Timur, Pamekasan (Kab.)",63068778,2665000.0,January 2026,APBD,True,1 Paket,Beban Sewa Software/Aplikasi; Beban Sewa Software/Aplikasi;,"Penyimpanan Google Drive Kapaitas 2 TB; Canva Pro, untuk satu orang;",kabkota,0.0,low,,0,1
Pengembangan/Pemeliharaan Aplikasi Perizinan,True,Jasa Lainnya,Pengadaan Langsung,Kab. Boyolali,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,"Jawa Tengah, Boyolali (Kab.)",62770798,25000000.0,January 2026,APBD,True,1 Paket,Jasa Konversi Aplikasi/Sistem Informasi;,Jasa Pengembangan/Pemeliharaan Aplikasi Perizinan,kabkota,0.0,low,,0,1
Biaya upgrade Aplikasi SIMANISE,True,Jasa Lainnya,Pengadaan Langsung,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI MALUKU,"Maluku, Ambon (Kota)",61624374,5000000.0,January 2026,APBN,True,1 Paket,Jasa,Jasa,central,0.0,low,,0,1
Aplikasi Integrasi ESRUT dan SKRB PKB,True,Jasa Konsultansi,Pengadaan Langsung,Kota Jambi,Dinas Perhubungan,"Jambi, Jambi (Kota)",62139488,100000000.0,May 2026,APBD,True,1 Paket,Aplikasi Integrasi ESRUT dan SKRB PKB,Aplikasi Integrasi ESRUT dan SKRB PKB,kabkota,0.0,low,,0,1
Biaya Perawatan Aplikasi,True,Jasa Lainnya,Pengadaan Langsung,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI KALIMANTAN SELATAN,"Kalimantan Selatan, Banjarmasin (Kota)",61623658,45000000.0,January 2026,APBN,True,1 kegiatan,Biaya Perawatan Aplikasi,Biaya Perawatan Aplikasi,central,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 5],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757283,3500000.0,April 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 5],Pembayaran zoom meeting dan aplikasi [ke - 5],central,0.0,low,,0,1
Pengadaan Jasa Konsultansi Perorangan Peningkatan Kapabilitas Aplikasi dan Data KPK 2026,True,Jasa Konsultansi,Seleksi,Komisi Pemberantasan Korupsi,KOMISI PEMBERANTASAN KORUPSI KPK,"DKI Jakarta, Jakarta Selatan (Kota) | DKI Jakarta, Jakarta Selatan (Kota) | DKI Jakarta, Jakarta Selatan (Kota) | DKI Jakarta, Jakarta Selatan (Kota) | DKI Jakarta, Jakarta Selatan (Kota) | DKI Jakarta, Jakarta Selatan (Kota) | DKI Jakarta, Jakarta Selatan (Kota) | DKI Jakarta, Jakarta Selatan (Kota)",61673118,6700500000.0,November 2025,APBN - RUPIAH MURNI (A),True,1 Paket,Pengadaan Jasa Konsultan Perorangan untuk Peningkatan Kapabilitas Aplikasi dan Data KPK 2026 sebanyak 43 orang secara itemized,Jasa Konsultan Perorangan secara waktu penugasan,central,0.0,low,,0,1
Belanja Kawat/Faksimili/Internet/TV Berlangganan -  Koordinasi pembangunan dan/atau pengembangan Aplikasi Khusus,True,Jasa Lainnya,E-Purchasing,Provinsi Jambi,Dinas Komunikasi dan Informatika,"Jambi, Jambi (Kota)",63051554,159996000.0,January 2026,APBD,True,12 Bulan,Cloud Server Sistem Aplikasi Absensi Online (SiAbon),Sewa Cloud Server,provinsi,0.0,low,,0,1
Biaya Lisensi Aplikasi Video Conference/ Biaya Layanan Konferensi Video,True,Jasa Lainnya,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BALAI PENGELOLAAN PENGUJIAN PENDIDIKAN,"DKI Jakarta, Jakarta Pusat (Kota)",61655970,90000000.0,January 2026,APBN,True,1 Paket,Biaya Lisensi Aplikasi Video Conference/ Biaya Layanan Konferensi Video,Biaya Lisensi Aplikasi Video Conference/ Biaya Layanan Konferensi Video,central,0.0,low,,0,1
"Tenaga Ahli Pembangunan, Pengembangan dan Pengelolaan Aplikasi Cipta Karya, Tata Ruang dan Pertanahan (Tenaga Ahli Pengalaman Minimal 7 Tahun - Senior Software Developer) - 7",True,Jasa Konsultansi,Seleksi,Provinsi DKI Jakarta,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN","DKI Jakarta, Jakarta Pusat (Kota)",61747631,161700000.0,November 2025,APBD,True,1 x 12 Bulan,"1. Menyusun dan menulis dokumentasi pengembangan program sebagai acuan dalam proses pengembangan, pemeliharaan, dan peningkatan sistem aplikasi. 2. Melakukan pengujian dan percobaan terhadap program atau aplikasi untuk memastikan bahwa hasil keluaran sesuai dengan spesifikasi dan kebutuhan pengguna. 3. Melakukan revisi, perbaikan, dan pengembangan program yang ada guna meningkatkan efisiensi, keandalan, serta kinerja sistem. 4. Menganalisis dan meninjau struktur program, serta menulis ulang atau menyempurnakan kode dengan menggunakan diagram alur kerja, logika simbolik, dan prinsip pemrograman yang efisien. 5. Berkolaborasi dan berkonsultasi dengan tim pengembang atau tenaga ahli lainnya untuk mengidentifikasi permasalahan teknis dan menentukan solusi yang tepat. 6. Melaksanakan analisis sistem dan pemrograman teknis untuk memelihara, mengontrol, serta mengoptimalkan penggunaan perangkat lunak dan sistem komputer. 7. Melaksanakan tugas lain yang ditetapkan oleh pimpinan atau atasan sesuai dengan kewenangan dan tanggung jawab jabatan.","a. S1/D4 Teknik Komputer / Teknik Informatika / Sistem Informasi / Geografi / Teknik Elektro / Teknik Geomatika / Teknik Geografi atau Program Studi Sejenis; b. Memiliki pengalaman 7 Tahun dalam bidang IT atau pengalaman sejenis; c. Memiliki NIB dengan KBLI 62019. d.Mampu mencari akar masalah dengan pendekatan yang sistematis (troubleshooting dengan pendekatan root cause analysis); e.Mampu menganalisis kebutuhan serta merancang dan mengembangkan sistem aplikasi sesuai standar teknis dan kebutuhan bisnis; f. Menguasai bahasa pemrograman PHP (minimal versi 5), HTML, JavaScript, Java, jQuery, CSS, dan framework terkait; g. Menguasai konsep arsitektur aplikasi seperti MVC dan HMVC, serta framework modern berbasis PHP dan JavaScript; h. Menguasai pengelolaan dan optimasi database PostgreSQL, MySQL, dan Oracle (menjadi nilai tambah); i. Memiliki pengalaman dalam mengelola dan mengoptimalkan web server seperti Apache dan Nginx, serta integrasi API Web Service/Map Service (JSON, GeoJSON, REST, dll.); j. Mampu menyusun dan menganalisis alur kerja bisnis proses (business process flow) untuk mendukung pengembangan sistem; k. Mampu menjelaskan aspek teknis secara sistematis, mudah dipahami, serta memberikan rekomendasi konkret dari hasil analisis dan visualisasi.",provinsi,0.0,low,,0,1
Pengadaan sewa aplikasi SEAMEO CECCEP,True,Jasa Lainnya,E-Purchasing,Kementerian Pendidikan Dasar dan Menengah,BIRO PERENCANAAN DAN KERJA SAMA,"Jawa Barat, Bandung Barat (Kab.)",62394285,5970000.0,January 2026,APBN,True,1 Paket,Pengadaan sewa aplikasi SEAMEO CECCEP,"sewa aplikasi perkantoran, bahasa, dan referensi penelitian",central,0.0,low,,0,1
Belanja Sewa Aset Tidak Berwujud-Software - Call Center 112,True,Jasa Lainnya,E-Purchasing,Kab. Klungkung,Dinas Komunikasi dan Informatika,"Bali, Klungkung (Kab.)",62058321,146000000.0,January 2026,APBD,True,1 Tahun,Belanja Sewa Aset Tidak Berwujud-Software - Call Center 112,Sewa Paket Layanan Call Center 112 (Emergency Server),kabkota,0.0,low,,0,1
Belanja Sewa Aset Tidak Berwujud-Software - Sewa Managed Service Firewall,True,Jasa Lainnya,E-Purchasing,Kab. Klungkung,Dinas Komunikasi dan Informatika,"Bali, Klungkung (Kab.)",62057713,360000000.0,January 2026,APBD,True,1 Tahun,Belanja Sewa Aset Tidak Berwujud-Software - Sewa Managed Service Firewall,Sewa Manage Service Firewall Fortiget 200F,kabkota,0.0,low,,0,1
[PMKP KIP] Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,Pengadaan Langsung,Kab. Mojokerto,DINAS KOMUNIKASI DAN INFORMATIKA,"Jawa Timur, Mojokerto (Kab.)",63029066,10188000.0,January 2026,APBD,True,1 Paket,Langganan Canva; Langganan CapCut;,Jasa Editing Gambar/Foto dan desain; Jasa Editing Vidio/Audio;,kabkota,10188000.0,high,"Item berupa langganan aplikasi kreatif umum untuk editing desain dan video dianggarkan sebagai jasa konversi aplikasi/sistem informasi. Uraian ini menunjukkan ketidaksesuaian yang kuat antara nama pengadaan dan kebutuhan riil, sehingga berindikasi belanja kurang relevan atau salah klasifikasi untuk fungsi perangkat daerah.",1,1
belanja pemeliharaan Aset tidak berwujud-Software,True,Barang,E-Purchasing,Kota Batu,Dinas Komunikasi dan Informatika,"Jawa Timur, Batu (Kota)",61995609,555000000.0,February 2026,APBD,True,1 paket,"software aplikasi lapor, Open Complaint Ticket, Receive com","software aplikasi lapor, Open Complaint Ticket, Receive com",kabkota,0.0,low,,0,1
Pembayaran zoom meeting dan aplikasi [ke - 4],True,Barang,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,BPMP PROVINSI SUMATERA SELATAN,"Sumatera Selatan, Ogan Ilir (Kab.)",61757282,3500000.0,March 2026,APBN,True,1 Paket,Pembayaran zoom meeting dan aplikasi [ke - 4],Pembayaran zoom meeting dan aplikasi [ke - 4],central,0.0,low,,0,1
Belanja Sewa Aplikasi Video Conference,True,Jasa Lainnya,Pengadaan Langsung,Provinsi Kalimantan Timur,Badan Pendapatan Daerah,"Kalimantan Timur, Samarinda (Kota)",62338172,10238417.0,January 2026,APBD,True,1 tahun,Sewa Aplikasi Video Conference,Sewa Aplikasi Video Conference,provinsi,0.0,low,,0,1
ATS Software Quest Tahun Anggaran 2026,False,Jasa Lainnya,Tender,Kementerian Keuangan,BADAN TEKNOLOGI INFORMASI DAN INTELIJEN KEUANGAN,"DKI Jakarta, Jakarta Pusat (Kota)",61652573,2358200000.0,November 2025,APBN,False,1 Paket,Sesuai Ruang Lingkup Pekerjaan pada KAK,Sesuai Spesifikasi Pekerjaan pada KAK,central,0.0,low,,0,1
Belanja Aplikasi E Puskesmas (BLUD),True,Jasa Lainnya,Pengadaan Langsung,Kab. Kutai Kartanegara,Puskesmas Sebulu 2,"Kalimantan Timur, Kutai Kartanegara (Kab.)",63037611,13320000.0,January 2026,BLUD,True,1 Paket,Belanja Aplikasi E Puskesmas (BLUD),Belanja Aplikasi E Puskesmas (BLUD),kabkota,0.0,low,,0,1
Belanja Sewa Cloud Server Aplikasi Manajemen Assessment Center,True,Jasa Lainnya,E-Purchasing,Kota Palembang,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia,"Sumatera Selatan, Palembang (Kota)",62660895,100000000.0,December 2025,APBD,True,1 tahun,Belanja Sewa Cloud Server Aplikasi Manajemen Assessment Center,"Redis, Caddy Webserver + FrankenPhp, VPN, Load Balancer Database Cluster MySQL Maintenance Server. Backup Data",kabkota,0.0,low,,0,1
Belanja Makanan dan Minuman Rapat Kegiatan Rakor Data Keolahragaan dan Pengelolaan Aplikasi SIMPORA Tahun 2026,True,Barang,E-Purchasing,Provinsi Jawa Tengah,Dinas Kepemudaan dan Olahraga,"Jawa Tengah, Semarang (Kota)",62724951,5300000.0,February 2026,APBD,True,1 Paket,Belanja Makanan dan Minuman Rapat,"Makanan dan Minuman Dus, Snack Dus",provinsi,0.0,low,,0,1
Pengadaan Software (Lisensi dan Aplikasi Baru),True,Jasa Lainnya,Pengadaan Langsung,Kab. Boyolali,Rumah Sakit Umum Daerah Pandan Arang,"Jawa Tengah, Boyolali (Kab.)",62646111,25000000.0,December 2025,BLUD,True,1 Tahun,Pengadaan Software (Lisensi dan Aplikasi Baru),Pengadaan Software (Lisensi dan Aplikasi Baru),kabkota,0.0,low,,0,1
Belanja Sewa Aset Tidak Berwujud-Software,True,Barang,Pengadaan Langsung,Kab. Bojonegoro,Dinas Pemberdayaan Masyarakat dan Desa,"Jawa Timur, Bojonegoro (Kab.)",62750703,16503100.0,January 2026,APBD,True,1 Paket,Lisensi Cloud Switch Managed Cloud System; Lisensi Cloud Wireless Access Point;,Lisensi Elektronik untuk Switch Cisco Meraki MS350-48 1 Tahun; Lisensi Elektronik untuk Access Point Cisco Meraki 1 Tahun;,kabkota,0.0,low,,0,1
(2901.CAN.004 )Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,True,Barang,Dikecualikan,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SERAM BAGIAN TIMUR,"Maluku, Seram Bagian Timur (Kab.)",62621309,9540000.0,January 2026,APBN - RUPIAH MURNI (A),True,"( 1, PAKET, @ 9540000 )","1. Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, PAKET, @ 9540000 );",Terlampir dalam KAK,central,0.0,low,,0,1
Paket Langganan Aplikasi Pengolah Gambar/Video,True,Barang,Pengadaan Langsung,Kementerian Pendidikan Dasar dan Menengah,BALAI PENGEMBANGAN PENJAMINAN MUTU PENDIDIKAN VOKASI BIDANG KELAUTAN PERIKANAN TEKNOLOGI INFORMASI DAN KOMUNIKASI,"Sulawesi Selatan, Gowa (Kab.)",62664829,9600000.0,January 2026,APBN,True,1 paket,Paket Langganan Aplikasi Pengolah Gambar/Video,Paket Langganan Aplikasi Pengolah Gambar/Video,central,0.0,low,,0,1
Belanja Pemeliharaan Aset Tidak Berwujud-Software LPSE,True,Jasa Lainnya,Pengadaan Langsung,Kota Magelang,Bagian Pengadaan Barang dan Jasa,"Jawa Tengah, Magelang (Kota)",62636273,10600000.0,January 2026,APBD,True,1 Paket,Pemeliharaan Software;,Pemeliharaan Software;,kabkota,0.0,low,,0,1
ATS Software dan Appliance Arcsight,False,Jasa Lainnya,Tender,Kementerian Keuangan,BADAN TEKNOLOGI INFORMASI DAN INTELIJEN KEUANGAN,"DKI Jakarta, Jakarta Pusat (Kota)",61524171,2935767000.0,November 2025,APBN,True,1 Paket,Sesuai Ruang Lingkup Pekerjaan pada KAK,Sesuai Spesifikasi Pekerjaan pada KAK,central,0.0,low,,0,1
Belanja Jasa Konversi Aplikasi/Sistem Informasi (0058),True,Jasa Lainnya,E-Purchasing,Kota Mojokerto,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Jawa Timur, Mojokerto (Kota)",61917999,45000000.0,January 2026,APBD,True,1 Paket,Berlangganan Aplikasi,Berlangganan Aplikasi Spesifikasi : Sistem PPDB,kabkota,0.0,low,,0,1
